,Season,Guest star,Episode title
247,7,Jack Sheldon,"""The Day the Violence Died""[167]"
248,7,Suzanne Somers,"""The Day the Violence Died""[167]"
249,7,Jeff Goldblum,"""A Fish Called Selma""[169]"
250,7,Phil Hartman,"""A Fish Called Selma""[169]"
251,7,Jim Lau,"""Bart on the Road""[170]"
252,7,Phil Hartman,"""22 Short Films About Springfield""[171]"
253,7,Marcia Wallace,"""Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""""
254,7,Joe Mantegna,"""Much Apu About Nothing""[172]"
255,7,Cypress Hill[I],"""Homerpalooza""[173]"
256,7,Peter Frampton,"""Homerpalooza""[173]"
257,7,The Smashing Pumpkins[J],"""Homerpalooza""[173]"
258,7,Sonic Youth[K],"""Homerpalooza""[173]"
259,7,Christina Ricci,"""Summer of 4 Ft. 2""[174]"
260,7,Marcia Wallace,"""Summer of 4 Ft. 2"""
261,8,Phil Hartman,"""Treehouse of Horror VII""[175]"
262,8,Albert Brooks,"""You Only Move Twice""[176]"
263,8,Sally Stevens,"""You Only Move Twice""[70]"
264,8,Michael Buffer,"""The Homer They Fall""[177]"
265,8,Sally Stevens,"""The Homer They Fall""[70]"
266,8,Paul Winfield,"""The Homer They Fall""[177]"
267,8,Rodney Dangerfield,"""Burns, Baby Burns""[178]"
268,8,Jon Lovitz,"""Hurricane Neddy""[179]"
269,8,Johnny Cash,"""El Viaje Misterioso de Nuestro Jomer(The Mysterious Voyage of Homer)""[180]"
270,8,Gillian Anderson,"""The Springfield Files""[181]"
271,8,David Duchovny,"""The Springfield Files""[181]"
272,8,Leonard Nimoy,"""The Springfield Files""[181]"
273,8,Joe Mantegna,"""The Twisted World of Marge Simpson""[182]"
274,8,Jack Lemmon,"""The Twisted World of Marge Simpson""[182]"
275,8,Marcia Wallace,"""The Twisted World of Marge Simpson""[182]"
276,8,Phil Hartman,"""The Itchy & Scratchy & Poochie Show""[183]"
277,8,Alex Rocco,"""The Itchy & Scratchy & Poochie Show""[184]"
278,8,John Waters,"""Homer's Phobia""[185]"
279,8,Kelsey Grammer,"""Brother from Another Series""[186]"
280,8,David Hyde Pierce,"""Brother from Another Series""[187]"
281,8,Marcia Wallace,"""Brother from Another Series"""
282,8,Joe Mantegna,"""Homer vs. the Eighteenth Amendment""[188]"
283,8,Dave Thomas,"""Homer vs. the Eighteenth Amendment""[188]"
284,8,Michael Dees,"""Grade School Confidential"""
285,8,Marcia Wallace,"""Grade School Confidential"""
286,8,Frank Welker,"""The Canine Mutiny""[70]"
287,8,Bret Hart,"""The Old Man and the Lisa""[189]"
288,8,Denice Kumagai,"""In Marge We Trust""[190]"
289,8,Karen Maruyama,"""In Marge We Trust""[190]"
